item_id,priority,title,acceptance,status,evidence,missing_evidence,notes
A-001,P0,Перейти на pyproject.toml и пакетную структуру,Проект устанавливается pip install -e .; CLI доступен; старые команды работают через совместимость.,pass,"[""pyproject.toml"", ""seedling_experiments/__main__.py""]",[],
A-002,P0,Разделить requirements на base/vision/training/rl/robot/dev,Можно установить минимальный runtime без RL и robot-зависимостей.,pass,"[""requirements/base.txt"", ""requirements/vision.txt"", ""requirements/rl.txt"", ""requirements/robot.txt"", ""requirements/dev.txt""]",[],
A-003,P0,Ввести единый загрузчик YAML-конфигов с валидацией,Ошибки путей/типов ловятся до запуска обучения.,pass,"[""seedling_core/config.py"", ""seedling_experiments/config.py""]",[],
A-004,P0,Создать seedling_core.schemas на Pydantic/dataclasses,Схемы сериализуются в JSON; есть unit-тесты round-trip.,pass,"[""seedling_core/schemas.py"", ""tests/unit/test_schemas.py""]",[],
A-005,P1,Добавить run_snapshot как общий сервис,"Все команды сохраняют версию Python, платформу, command args, config hash.",pass,"[""seedling_core/run_snapshot.py""]",[],
A-006,P1,Ввести artifact registry,Для каждого запуска создаётся artifact_registry.json со ссылками на входы/выходы.,pass,"[""seedling_reports/registry.py"", ""seedling_core/run_snapshot.py"", ""tests/unit/test_reports_and_viewers.py"", ""tests/unit/test_cli_smoke.py""]",[],
A-007,P1,Создать миграционный слой для текущего predictions.json,Старые prediction-файлы читаются в новый SceneState.,pass,"[""seedling_vision/migration.py"", ""tests/unit/test_vision_migration.py""]",[],
A-008,P2,Добавить pre-commit / lint / formatting,"CI проверяет формат, типы и тесты.",pass,"["".pre-commit-config.yaml"", "".github/workflows/ci.yml"", ""pyproject.toml""]",[],
B-001,P0,Добавить configs/ontology/ontology_v0_1.yaml,"Есть классы объектов, cell states, action labels, attributes.",pass,"[""configs/ontology/ontology_v0_1.yaml""]",[],
B-002,P0,Реализовать seedling_data.ontology,Онтология валидируется; class names совпадают с датасетом.,pass,"[""seedling_data/ontology.py"", ""tests/unit/test_ontology_and_adapters.py""]",[],
B-003,P0,Создать DATASET_CARD_TEMPLATE.md,"Шаблон покрывает состав, сбор, split, ограничения, калибровку, безопасность.",pass,"[""docs/DATASET_CARD_TEMPLATE.md""]",[],
B-004,P0,Создать ANNOTATION_GUIDE.md,"Есть правила bbox, weeds, unknown, extra crop, action points, forbidden zones.",pass,"[""docs/ANNOTATION_GUIDE.md""]",[],
B-005,P0,Расширить audit raw/prepared,"Проверка missing/orphan, class ids, bbox ranges, empty labels, suspicious augmentation names.",pass,"[""seedling_experiments/dataset.py"", ""tests/unit/test_dataset_split.py""]",[],
