item_id,priority,title,acceptance,status,evidence,missing_evidence,notes
A-001,P0,Каркас пакетов и точек входа,Пакеты проекта и CLI-точки входа доступны для запуска и тестирования.,pass,"[""pyproject.toml"", ""seedling_experiments/__main__.py""]",[],
A-002,P0,Разделение зависимостей,"Базовые зависимости и группы vision, RL, robot, dev разделены.",pass,"[""requirements/base.txt"", ""requirements/vision.txt"", ""requirements/rl.txt"", ""requirements/robot.txt"", ""requirements/dev.txt""]",[],
A-003,P0,Загрузчик конфигураций,"Конфигурации проверяют разделы, поля и пути.",pass,"[""seedling_core/config.py"", ""seedling_experiments/config.py""]",[],
A-004,P0,Общие схемы данных,Общие структуры сериализуются и валидируются.,pass,"[""seedling_core/schemas.py"", ""tests/unit/test_schemas.py""]",[],
A-005,P1,Общий run_snapshot,"Все команды сохраняют версию Python, платформу, аргументы команды и хэш конфигурации.",pass,"[""seedling_core/run_snapshot.py""]",[],
A-006,P1,Реестр артефактов,Каждый запуск создаёт artifact_registry.json со связями входов и выходов.,pass,"[""seedling_reports/registry.py"", ""seedling_core/run_snapshot.py"", ""tests/unit/test_reports_and_viewers.py"", ""tests/unit/test_cli_smoke.py""]",[],
A-007,P1,Миграция старых предсказаний,Старые predictions.json переводятся в SceneState.,pass,"[""seedling_vision/migration.py"", ""tests/unit/test_vision_migration.py""]",[],
A-008,P1,CI и pre-commit,"Проверки форматирования, lint и тестов запускаются локально и в CI.",pass,"["".pre-commit-config.yaml"", "".github/workflows/ci.yml"", ""pyproject.toml""]",[],
B-001,P0,Конфигурация онтологии,"В онтологии есть классы объектов, состояния ячеек, метки действий и атрибуты.",pass,"[""configs/ontology/ontology_v0_1.yaml""]",[],
B-002,P0,Модуль онтологии данных,"Онтология валидируется, а имена классов согласованы с датасетом.",pass,"[""seedling_data/ontology.py"", ""tests/unit/test_ontology_and_adapters.py""]",[],
B-003,P1,Шаблон карточки набора данных,"Карточка фиксирует идентичность, источники, разбиение и ограничения безопасности.",pass,"[""docs/DATASET_CARD_TEMPLATE.md""]",[],
B-004,P0,Руководство по разметке,"Руководство описывает объекты, ячейки и точки действия.",pass,"[""docs/ANNOTATION_GUIDE.md""]",[],
B-005,P0,Групповое разбиение,Группы разделяются до аугментации.,pass,"[""seedling_experiments/dataset.py"", ""tests/unit/test_dataset_split.py""]",[],
B-006,P0,Генератор image_manifest.csv,"Для каждого изображения есть хэш, размер, группа, сессия и кассета.",pass,"[""seedling_data/manifests.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-007,P0,Проверка утечки аугментаций,В val и test нет утечки исходников из train.,pass,"[""seedling_experiments/dataset.py"", ""tests/unit/test_dataset_split.py""]",[],
B-008,P0,Проверка близких дублей,Хэши и перцептивные хэши проверяются между частями разбиения.,pass,"[""seedling_data/duplicates.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-009,P0,Разметка ячеек,Схема и аудит разметки ячеек реализованы.,pass,"[""seedling_data/annotations.py"", ""docs/ANNOTATION_GUIDE.md"", ""tests/unit/test_data_registry_annotations.py""]",[],
